Activity	0.07010627063938478,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.6992059672611974,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	5.542835859311335E-6,Event	2.0611536181902033E-9,Location	1.615811953493297E-4,Place	0.9997210139026379,MeanOfTransportation	2.0611536181902033E-9,Species	0.9997725555024856,SportsSeason	2.0611536181902033E-9,TimePeriod	3.888290301518078E-9,Work	0.9999983647777761
Activity	0.16857393760147152,Agent	5.081643904960693E-5,Organisation	2.0611536181902033E-9,other	0.999031705109508,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	6.580928945939249E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999833971128,SportsSeason	6.15420291282971E-9,TimePeriod	1.1686239467274313E-8,Work	2.0611536181902033E-9
Activity	0.1100722573789503,Agent	2.0611536181902033E-9,Organisation	2.301359210679046E-5,other	2.0611536181902033E-9,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0393692994969354E-8,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.0028779555482026957,SportsSeason	1.7204071930076182E-7,TimePeriod	8.29187200533394E-7,Work	2.0611536181902033E-9
Activity	0.006317380272189753,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.9303463253988388E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9994911735390207,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.32594838538900783,Agent	0.0434381574204219,Organisation	2.0611536181902033E-9,other	0.006437479438540103,Person	0.9950539529080628,Biomolecule	1.0977963650600692E-7,CelestialBody	0.2164699045342575,ChemicalSubstance	7.164937321615763E-7,Device	1.1862086110416987E-4,Event	1.2966236273794395E-6,Location	3.601497250378374E-4,Place	2.4892813824117147E-5,MeanOfTransportation	0.9164335848942307,Species	0.9308527596701792,SportsSeason	0.001953571210364388,TimePeriod	0.009047736055719957,Work	0.04873026830554182
Activity	1.0413010479593604E-8,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9999999979388464
Activity	5.760631185604031E-4,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9999949113116112
Activity	0.01340311644838092,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.001088913240462869,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9999999979388464
Activity	0.007032122010333071,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.1116255667990884E-5,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999997903047134,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9999999979388464
Activity	0.017589012944718773,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.9802689891007179,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979304514,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	2.474796434437671E-4,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.9257573008394605,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
